Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.746	3.01e-04	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K36me3	E090-H3K36me3.broadPeak.gz	cg00867472,cg00988037,cg01015663,cg01126699,cg01329690,cg01542019,cg01556552,cg02194129,cg02317313,cg02468154,cg02597894,cg03502812,cg03732020,cg03744763,cg03750061,cg04242728,cg04304450,cg04537738,cg04845871,cg04983687,cg05253759,cg05257275,cg05376219,cg05575921,cg05673882,cg06653796,cg06670742,cg06943835,cg06946543,cg07029024,cg07094298,cg07357081,cg07551060,cg07660627,cg07970948,cg08262464,cg08288703,cg08289839,cg08307171,cg08447934,cg08549335,cg08726900,cg08766770,cg08881614,cg08899895,cg08937102,cg09294084,cg10099827,cg10295552,cg10713715,cg10832476,cg10980948,cg11095027,cg12104982,cg12520319,cg12837524,cg13039251,cg13167816,cg13253439,cg13305415,cg13523568,cg13876222,cg14020176,cg15090440,cg15150970,cg15251319,cg15540623,cg15727507,cg16455894,cg16479633,cg16834726,cg16887422,cg17042996,cg17224754,cg17540765,cg17873919,cg17907003,cg18022012,cg18187029,cg18597188,cg18797823,cg19295068,cg19623054,cg20472746,cg20507228,cg20784591,cg21443659,cg21618017,cg22500518,cg22533317,cg22761205,cg23205886,cg23661483,cg23690893,cg23983449,cg25580656,cg25799109,cg25921609,cg25940513,cg25966599,cg26189283,cg26618703,cg26728709	E090	7.47e-03
5.274	4.40e-11	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K4me1	E089-H3K4me1.broadPeak.gz	cg00687135,cg00867472,cg00902153,cg00988037,cg01015663,cg01100175,cg01101873,cg01126699,cg01329690,cg01501009,cg01542019,cg01556552,cg01656168,cg01939453,cg02194129,cg02317313,cg02349578,cg02468154,cg02556393,cg02597894,cg02810967,cg02816816,cg03057083,cg03131366,cg03211864,cg03489965,cg03502812,cg03732020,cg03744763,cg03750061,cg04134748,cg04242728,cg04304450,cg04537738,cg04657325,cg04751761,cg04768697,cg04845871,cg04983687,cg05253759,cg05257275,cg05376219,cg05392764,cg05508862,cg05575921,cg05673882,cg06635952,cg06653796,cg06670742,cg06946543,cg06991974,cg07029024,cg07056299,cg07094298,cg07186154,cg07357081,cg07363676,cg07518532,cg07551060,cg07970948,cg08059112,cg08109625,cg08262464,cg08288703,cg08289839,cg08335767,cg08383315,cg08447934,cg08654655,cg08766770,cg08802607,cg08843623,cg08881614,cg08899895,cg08922729,cg08937102,cg08940169,cg08948841,cg08972170,cg09109520,cg09235539,cg09294084,cg09704401,cg09904264,cg10017105,cg10186366,cg10194884,cg10295552,cg10322443,cg10422233,cg10493186,cg10581754,cg10670310,cg10692140,cg10713715,cg10832476,cg10980948,cg11095027,cg11547696,cg11617147,cg11965976,cg12076102,cg12104982,cg12126344,cg12520319,cg12837524,cg13039251,cg13167816,cg13189097,cg13253439,cg13305415,cg13458609,cg13523568,cg13526915,cg13566648,cg14020176,cg14049470,cg14145338,cg14377791,cg14450238,cg14469684,cg15068180,cg15090440,cg15150970,cg15251319,cg15283950,cg15338967,cg15485700,cg15523958,cg15540623,cg15727507,cg15953602,cg16145216,cg16282618,cg16348158,cg16455894,cg16479633,cg16734795,cg16834726,cg16887422,cg17042996,cg17053845,cg17224754,cg17486314,cg17540765,cg17870792,cg17873919,cg17907003,cg17934871,cg17971600,cg18022012,cg18176887,cg18187029,cg18202127,cg18419358,cg18597188,cg18797823,cg19075787,cg19399220,cg19623054,cg19755108,cg20051772,cg20100049,cg20309640,cg20472746,cg20507228,cg20784591,cg20950646,cg21085462,cg21162029,cg21327581,cg21443659,cg21497218,cg21566642,cg21618017,cg21686890,cg21848084,cg22010052,cg22122862,cg22389950,cg22402398,cg22500518,cg22533317,cg22639011,cg22761205,cg23205886,cg23258188,cg23505644,cg23661483,cg23690893,cg23983449,cg24843346,cg24988625,cg25580656,cg25799109,cg25921609,cg25940513,cg25966599,cg26076119,cg26163153,cg26189283,cg26618703,cg26693467,cg27315333,cg27613174	E089	5.58e-09
-0.365	6.56e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K4me3	E089-H3K4me3.broadPeak.gz	cg00687135,cg00988037,cg01100175,cg01101873,cg01329690,cg01501009,cg01542019,cg01656168,cg01939453,cg02317313,cg02349578,cg02810967,cg02816816,cg03744763,cg04292359,cg05392764,cg05567236,cg06297145,cg06635952,cg06670742,cg07186154,cg07518532,cg08059112,cg08289839,cg08447934,cg08654655,cg08843623,cg08948841,cg09109520,cg09235539,cg09704401,cg09904264,cg10017105,cg10493186,cg10581754,cg10670310,cg11617147,cg11780096,cg11965976,cg13167816,cg13189097,cg13253439,cg13305415,cg13405783,cg13458609,cg13526915,cg14049470,cg14377791,cg14450238,cg14469684,cg15150970,cg15283950,cg15485700,cg15523958,cg15953602,cg16145216,cg16282618,cg16560711,cg17053845,cg17540765,cg17870792,cg17873919,cg17934871,cg17971600,cg18022012,cg18176887,cg19399220,cg19755108,cg20051772,cg20100049,cg21085462,cg21162029,cg21327581,cg21411075,cg21497218,cg21618017,cg21686890,cg22010052,cg22389950,cg22533317,cg22639011,cg23665802,cg23690893,cg23983449,cg24988625,cg26189283,cg26693467,cg27613174	E089	1.00e+00
-1.451	9.60e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K9me3	E089-H3K9me3.broadPeak.gz	cg02468154,cg08767044,cg09410512,cg10832476,cg19075787,cg19399220,cg22533317,cg26163153	E089	1.00e+00
2.283	8.04e-03	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K27me3	E089-H3K27me3.broadPeak.gz	cg00962903,cg01100175,cg01101873,cg01126699,cg01329690,cg01542019,cg01556552,cg01656168,cg01939453,cg02194129,cg02556393,cg02816816,cg03057083,cg03131366,cg03211864,cg03489965,cg03744763,cg03750061,cg04134748,cg04242728,cg04292359,cg04304450,cg04751761,cg04768697,cg04983687,cg05033439,cg05257275,cg05392764,cg05508862,cg05575921,cg06653796,cg06670742,cg06991974,cg07056299,cg07186154,cg07357081,cg07518532,cg08059112,cg08109625,cg08288703,cg08289839,cg08335767,cg08383315,cg08447934,cg08654655,cg08802607,cg08843623,cg08899895,cg08922729,cg09109520,cg09235539,cg09294084,cg09704401,cg10017105,cg10186366,cg10194884,cg10295552,cg10322443,cg10422233,cg10493186,cg10581754,cg10670310,cg10713715,cg10832476,cg10980948,cg11547696,cg11617147,cg11965976,cg12076102,cg12126344,cg12837524,cg13039251,cg13167816,cg13305415,cg13405783,cg13458609,cg13523568,cg13566648,cg14020176,cg14049470,cg14145338,cg14469684,cg15068180,cg15090440,cg15150970,cg15251319,cg15283950,cg15523958,cg15540623,cg15953602,cg16145216,cg16348158,cg16455894,cg16545743,cg16887422,cg17224754,cg17540765,cg17870792,cg17873919,cg17934871,cg17971600,cg18022012,cg18202127,cg18597188,cg18991417,cg19075787,cg19399220,cg19623054,cg19755108,cg20051772,cg20784591,cg20950646,cg21162029,cg21327581,cg21443659,cg21497218,cg21566642,cg21686890,cg21848084,cg22010052,cg22122862,cg22389950,cg22533317,cg22639011,cg23258188,cg23505644,cg23661483,cg23690893,cg24843346,cg24988625,cg25580656,cg25921609,cg25940513,cg25966599,cg26076119,cg26094004,cg26163153,cg26189283,cg26693467,cg27315333,cg27613174	E089	1.31e-01
2.932	5.75e-03	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K36me3	E089-H3K36me3.broadPeak.gz	cg00867472,cg00988037,cg01015663,cg01329690,cg01542019,cg02194129,cg02317313,cg02468154,cg02597894,cg03502812,cg03744763,cg03750061,cg04242728,cg05253759,cg05257275,cg05376219,cg06653796,cg06670742,cg06943835,cg07094298,cg07551060,cg07660627,cg07970948,cg08262464,cg08289839,cg08307171,cg08447934,cg08766770,cg08767044,cg08843623,cg08881614,cg08937102,cg08972170,cg09294084,cg10295552,cg10713715,cg10980948,cg11095027,cg12104982,cg12520319,cg13167816,cg13305415,cg13458609,cg13523568,cg13876222,cg14020176,cg15150970,cg15251319,cg15540623,cg15727507,cg16455894,cg16479633,cg16834726,cg16887422,cg17042996,cg17224754,cg17540765,cg17907003,cg18187029,cg18597188,cg19295068,cg19623054,cg19925780,cg20472746,cg20507228,cg21618017,cg22533317,cg22761205,cg23205886,cg23661483,cg23665802,cg23690893,cg25580656,cg25921609,cg25940513,cg26189283,cg26618703,cg26728709	E089	9.65e-02
5.584	4.94e-11	E092 Fetal Stomach	Fetal Stomach	H3K4me1	E092-H3K4me1.broadPeak.gz	cg00008629,cg00867472,cg00902153,cg00988037,cg01015663,cg01100175,cg01101873,cg01126699,cg01329690,cg01501009,cg01542019,cg01556552,cg01656168,cg01939453,cg02194129,cg02317313,cg02349578,cg02556393,cg02597894,cg02610360,cg02810967,cg02816816,cg03057083,cg03131366,cg03211864,cg03489965,cg03526142,cg03744763,cg03750061,cg04134748,cg04242728,cg04292359,cg04304450,cg04537738,cg04657325,cg04751761,cg04845871,cg05135521,cg05253759,cg05257275,cg05376219,cg05392764,cg05508862,cg05567236,cg05575921,cg05673882,cg05708512,cg06297145,cg06635952,cg06653796,cg06670742,cg06946543,cg06991974,cg07029024,cg07056299,cg07094298,cg07157107,cg07186154,cg07357081,cg07363676,cg07518532,cg07551060,cg07660627,cg07891911,cg08059112,cg08109625,cg08262464,cg08288703,cg08307171,cg08335767,cg08383315,cg08447934,cg08654655,cg08726900,cg08767044,cg08802607,cg08843623,cg08881614,cg08899895,cg08922729,cg08937102,cg08940169,cg08948841,cg08972170,cg09109520,cg09235539,cg09704401,cg09904264,cg10017105,cg10099827,cg10186366,cg10295552,cg10322443,cg10422233,cg10493186,cg10670310,cg10692140,cg10713715,cg10980948,cg11095027,cg11547696,cg11965976,cg12076102,cg12126344,cg12520319,cg13039251,cg13167816,cg13189097,cg13253439,cg13305415,cg13405783,cg13458609,cg13526915,cg13566648,cg13836518,cg14020176,cg14450238,cg14469684,cg14519664,cg15068180,cg15150970,cg15251319,cg15283950,cg15338967,cg15485700,cg15523958,cg15540623,cg15953602,cg16145216,cg16348158,cg16455894,cg16479633,cg16834726,cg16887422,cg17042996,cg17053845,cg17486314,cg17540765,cg17873919,cg17907003,cg17934871,cg18022012,cg18187029,cg18202127,cg18419358,cg18597188,cg18797823,cg19075787,cg19399220,cg19755108,cg20051772,cg20100049,cg20309640,cg20472746,cg20507228,cg20784591,cg20950646,cg21327581,cg21393163,cg21443659,cg21497218,cg21566642,cg21618017,cg21686890,cg21848084,cg22010052,cg22122862,cg22389950,cg22500518,cg22533317,cg22639011,cg22761205,cg23661483,cg23665802,cg23690893,cg23965590,cg23983449,cg24843346,cg24988625,cg25580656,cg25799109,cg25953130,cg25966599,cg26076119,cg26189283,cg26618703,cg26693467,cg26811385,cg27192248,cg27315333,cg27613174	E092	5.64e-09
0.173	4.67e-01	E092 Fetal Stomach	Fetal Stomach	H3K4me3	E092-H3K4me3.broadPeak.gz	cg00008629,cg00687135,cg00962903,cg00988037,cg01100175,cg01501009,cg01656168,cg01939453,cg02317313,cg02349578,cg02556393,cg02810967,cg02816816,cg03057083,cg03526142,cg03744763,cg04134748,cg04292359,cg04537738,cg04751761,cg04845871,cg05257275,cg05392764,cg05567236,cg05575921,cg06297145,cg06635952,cg06991974,cg07186154,cg07357081,cg08335767,cg08383315,cg08654655,cg08767044,cg08940169,cg08948841,cg09109520,cg09235539,cg09704401,cg09904264,cg10017105,cg10422233,cg10581754,cg10670310,cg10713715,cg11617147,cg11965976,cg12837524,cg13039251,cg13189097,cg13253439,cg13305415,cg13526915,cg13566648,cg14049470,cg14450238,cg15090440,cg15150970,cg15283950,cg15485700,cg15523958,cg15953602,cg16145216,cg16560711,cg17053845,cg17540765,cg17870792,cg17873919,cg17934871,cg18022012,cg18176887,cg18202127,cg19399220,cg19623054,cg19755108,cg20051772,cg20100049,cg21085462,cg21162029,cg21411075,cg21497218,cg21566642,cg21618017,cg22010052,cg22122862,cg22389950,cg22639011,cg23665802,cg23983449,cg24988625,cg26189283,cg26693467,cg27613174	E092	1.00e+00
0.943	1.63e-01	E092 Fetal Stomach	Fetal Stomach	H3K9me3	E092-H3K9me3.broadPeak.gz	cg00687135,cg00902153,cg00988037,cg01100175,cg01101873,cg01329690,cg01501009,cg01556552,cg01656168,cg01939453,cg02317313,cg02349578,cg02468154,cg02597894,cg02816816,cg03131366,cg03211864,cg03489965,cg03502812,cg03732020,cg03744763,cg03750061,cg04134748,cg04292359,cg04304450,cg04537738,cg04768697,cg04983687,cg05033439,cg05257275,cg05376219,cg05575921,cg06653796,cg06943835,cg06991974,cg07056299,cg07094298,cg07186154,cg07363676,cg07551060,cg08059112,cg08288703,cg08289839,cg08307171,cg08383315,cg08654655,cg08767044,cg08881614,cg08899895,cg08922729,cg08937102,cg08940169,cg08948841,cg10099827,cg10186366,cg10194884,cg10422233,cg10493186,cg10581754,cg10670310,cg10692140,cg10713715,cg10832476,cg10980948,cg11547696,cg11617147,cg11965976,cg12104982,cg12126344,cg13167816,cg13189097,cg13305415,cg13405783,cg13458609,cg13566648,cg13876222,cg14049470,cg14145338,cg14377791,cg14395060,cg14450238,cg14469684,cg15090440,cg15251319,cg15540623,cg16282618,cg16348158,cg16545743,cg16734795,cg16834726,cg16887422,cg17042996,cg17224754,cg17934871,cg17971600,cg18187029,cg18202127,cg18419358,cg18797823,cg18991417,cg19075787,cg19295068,cg19399220,cg19623054,cg19755108,cg20051772,cg20472746,cg20784591,cg21162029,cg21327581,cg21443659,cg21497218,cg21566642,cg21686890,cg21848084,cg22010052,cg22122862,cg22389950,cg22639011,cg23258188,cg23505644,cg23661483,cg23690893,cg24843346,cg24988625,cg25580656,cg25799109,cg25921609,cg25940513,cg25966599,cg26094004,cg26163153,cg26618703,cg26693467,cg27315333,cg27613174	E092	1.00e+00
1.373	6.49e-02	E092 Fetal Stomach	Fetal Stomach	H3K27me3	E092-H3K27me3.broadPeak.gz	cg00687135,cg01100175,cg01101873,cg01126699,cg01329690,cg01501009,cg01542019,cg01556552,cg01656168,cg01939453,cg02317313,cg02349578,cg02556393,cg02597894,cg02816816,cg03057083,cg03131366,cg03211864,cg03489965,cg03502812,cg03732020,cg03744763,cg04134748,cg04242728,cg04292359,cg04304450,cg04537738,cg04768697,cg04845871,cg04983687,cg05033439,cg05257275,cg05376219,cg05392764,cg05508862,cg05575921,cg06653796,cg06670742,cg06943835,cg06991974,cg07029024,cg07186154,cg07518532,cg07551060,cg08059112,cg08109625,cg08288703,cg08307171,cg08335767,cg08383315,cg08447934,cg08654655,cg08802607,cg08843623,cg08881614,cg08899895,cg08922729,cg08937102,cg08940169,cg08948841,cg09109520,cg09235539,cg09294084,cg09704401,cg09904264,cg10017105,cg10099827,cg10186366,cg10194884,cg10322443,cg10422233,cg10493186,cg10581754,cg10670310,cg10692140,cg10713715,cg10832476,cg10980948,cg11547696,cg11617147,cg11965976,cg12076102,cg12126344,cg13167816,cg13189097,cg13253439,cg13305415,cg13405783,cg13458609,cg13526915,cg13566648,cg13876222,cg14020176,cg14049470,cg14145338,cg14377791,cg14395060,cg14450238,cg14469684,cg15068180,cg15090440,cg15251319,cg15283950,cg15485700,cg15523958,cg15540623,cg15953602,cg16145216,cg16282618,cg16348158,cg16455894,cg16545743,cg16734795,cg17224754,cg17540765,cg17870792,cg17873919,cg17934871,cg17971600,cg18022012,cg18176887,cg18202127,cg18419358,cg18797823,cg18991417,cg19075787,cg19399220,cg19623054,cg19755108,cg20309640,cg20472746,cg20784591,cg20950646,cg21085462,cg21162029,cg21327581,cg21411075,cg21497218,cg21566642,cg21848084,cg22010052,cg22122862,cg22389950,cg22402398,cg22500518,cg22533317,cg22639011,cg23205886,cg23258188,cg23505644,cg23661483,cg23690893,cg23983449,cg24843346,cg24988625,cg25580656,cg25966599,cg26076119,cg26094004,cg26163153,cg26618703,cg26693467,cg27315333,cg27613174	E092	8.93e-01
5.439	3.40e-07	E092 Fetal Stomach	Fetal Stomach	H3K36me3	E092-H3K36me3.broadPeak.gz	cg00867472,cg00988037,cg01015663,cg01101873,cg01126699,cg01329690,cg01542019,cg01556552,cg02194129,cg02317313,cg02468154,cg02597894,cg03502812,cg03732020,cg03744763,cg03750061,cg04242728,cg04304450,cg04537738,cg04751761,cg04845871,cg04983687,cg05253759,cg05257275,cg05376219,cg05673882,cg06635952,cg06653796,cg06670742,cg06943835,cg06946543,cg06991974,cg07056299,cg07094298,cg07357081,cg07518532,cg07551060,cg07660627,cg07970948,cg08109625,cg08262464,cg08289839,cg08307171,cg08447934,cg08766770,cg08767044,cg08843623,cg08881614,cg08899895,cg08937102,cg08940169,cg08948841,cg09109520,cg09294084,cg10017105,cg10099827,cg10295552,cg10422233,cg10493186,cg10713715,cg10832476,cg10980948,cg11095027,cg12104982,cg13167816,cg13253439,cg13305415,cg13458609,cg13523568,cg13876222,cg14020176,cg15090440,cg15150970,cg15251319,cg15283950,cg15540623,cg15727507,cg16348158,cg16455894,cg16479633,cg16834726,cg16887422,cg17042996,cg17224754,cg17486314,cg17540765,cg17907003,cg17971600,cg18187029,cg18202127,cg18597188,cg18797823,cg19295068,cg19399220,cg19623054,cg19925780,cg20472746,cg20507228,cg20784591,cg21618017,cg22122862,cg22500518,cg22533317,cg22761205,cg23205886,cg23258188,cg23661483,cg23690893,cg23983449,cg25580656,cg25799109,cg25921609,cg25940513,cg25966599,cg26189283,cg26618703,cg26728709	E092	1.34e-05
6.267	5.95e-13	E093 Fetal Thymus	Fetal Thymus	H3K4me1	E093-H3K4me1.broadPeak.gz	cg00867472,cg00902153,cg00988037,cg01015663,cg01100175,cg01329690,cg01501009,cg01542019,cg01556552,cg01656168,cg01939453,cg02194129,cg02317313,cg02349578,cg02556393,cg02597894,cg02610360,cg02816816,cg03057083,cg03131366,cg03489965,cg03526142,cg03744763,cg03750061,cg04134748,cg04242728,cg04292359,cg04304450,cg04537738,cg04657325,cg04751761,cg04845871,cg05135521,cg05253759,cg05257275,cg05392764,cg05508862,cg05567236,cg05575921,cg05708512,cg06297145,cg06635952,cg06653796,cg06670742,cg06943835,cg06946543,cg06991974,cg07029024,cg07056299,cg07094298,cg07157107,cg07518532,cg07551060,cg07660627,cg07970948,cg08059112,cg08289839,cg08307171,cg08335767,cg08383315,cg08447934,cg08549335,cg08726900,cg08767044,cg08802607,cg08843623,cg08881614,cg08899895,cg08922729,cg08940169,cg08948841,cg08972170,cg09109520,cg09235539,cg09294084,cg09704401,cg09904264,cg10017105,cg10099827,cg10186366,cg10295552,cg10322443,cg10422233,cg10670310,cg10692140,cg10713715,cg10980948,cg11095027,cg11547696,cg11617147,cg11780096,cg11965976,cg12076102,cg12126344,cg12520319,cg13039251,cg13167816,cg13253439,cg13305415,cg13405783,cg13458609,cg13523568,cg13526915,cg13566648,cg13836518,cg14049470,cg14145338,cg14377791,cg14450238,cg14469684,cg15068180,cg15090440,cg15150970,cg15251319,cg15283950,cg15338967,cg15485700,cg15523958,cg15540623,cg15727507,cg15953602,cg16145216,cg16348158,cg16455894,cg16479633,cg16560711,cg16834726,cg16887422,cg17042996,cg17053845,cg17486314,cg17540765,cg17870792,cg17873919,cg17907003,cg17934871,cg17971600,cg18022012,cg18176887,cg18187029,cg18419358,cg18597188,cg18797823,cg19075787,cg19399220,cg19623054,cg19755108,cg20051772,cg20100049,cg20472746,cg20507228,cg20784591,cg20950646,cg21085462,cg21162029,cg21327581,cg21393163,cg21443659,cg21497218,cg21566642,cg21618017,cg21686890,cg22010052,cg22122862,cg22389950,cg22402398,cg22500518,cg22639011,cg22761205,cg23205886,cg23258188,cg23661483,cg23690893,cg23965590,cg23983449,cg24536818,cg24988625,cg25580656,cg25799109,cg25921609,cg25940513,cg25953130,cg25966599,cg26163153,cg26189283,cg26618703,cg26693467,cg26728709,cg27315333,cg27613174	E093	1.13e-10
0.658	2.92e-01	E093 Fetal Thymus	Fetal Thymus	H3K4me3	E093-H3K4me3.broadPeak.gz	cg00008629,cg00687135,cg00988037,cg01100175,cg01501009,cg01542019,cg01656168,cg01939453,cg02317313,cg02349578,cg02810967,cg02816816,cg03526142,cg03750061,cg04292359,cg04304450,cg04537738,cg04983687,cg05257275,cg05392764,cg05567236,cg05575921,cg05708512,cg06297145,cg06635952,cg06653796,cg06946543,cg07157107,cg07186154,cg07551060,cg07660627,cg07970948,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08843623,cg08940169,cg08948841,cg09109520,cg09904264,cg10186366,cg10670310,cg11617147,cg11965976,cg12076102,cg12520319,cg13189097,cg13253439,cg13405783,cg13458609,cg14049470,cg14377791,cg14395060,cg14450238,cg14469684,cg15150970,cg15283950,cg15485700,cg15523958,cg15727507,cg15953602,cg16145216,cg16560711,cg17053845,cg17870792,cg17873919,cg17934871,cg18022012,cg18176887,cg18419358,cg18597188,cg19075787,cg19399220,cg19623054,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21162029,cg21327581,cg21411075,cg21443659,cg21497218,cg21566642,cg21618017,cg22010052,cg22389950,cg22639011,cg23205886,cg23665802,cg23983449,cg24536818,cg24988625,cg26163153,cg26189283,cg26693467,cg27613174	E093	1.00e+00
1.253	7.44e-02	E093 Fetal Thymus	Fetal Thymus	H3K9me3	E093-H3K9me3.broadPeak.gz	cg00687135,cg00867472,cg00902153,cg01015663,cg01100175,cg01101873,cg01126699,cg01329690,cg01501009,cg01556552,cg01656168,cg01939453,cg02194129,cg02349578,cg02468154,cg02556393,cg02597894,cg02816816,cg03057083,cg03211864,cg03489965,cg03744763,cg03750061,cg04134748,cg04242728,cg04292359,cg04304450,cg04537738,cg04657325,cg04751761,cg04768697,cg04845871,cg04983687,cg05033439,cg05253759,cg05257275,cg05376219,cg05392764,cg05508862,cg05708512,cg06653796,cg06670742,cg06943835,cg06991974,cg07029024,cg07056299,cg07094298,cg07186154,cg07357081,cg07363676,cg07518532,cg07551060,cg07970948,cg08059112,cg08262464,cg08288703,cg08307171,cg08335767,cg08447934,cg08654655,cg08767044,cg08802607,cg08843623,cg08899895,cg08922729,cg08940169,cg08948841,cg08972170,cg09109520,cg09235539,cg09294084,cg09904264,cg10017105,cg10099827,cg10186366,cg10194884,cg10295552,cg10322443,cg10422233,cg10670310,cg10692140,cg10713715,cg10832476,cg10980948,cg11095027,cg11547696,cg11617147,cg11780096,cg11965976,cg12076102,cg12104982,cg12126344,cg12520319,cg13039251,cg13167816,cg13189097,cg13253439,cg13305415,cg13405783,cg13458609,cg13523568,cg13526915,cg13566648,cg13876222,cg14020176,cg14049470,cg14395060,cg14450238,cg14469684,cg15068180,cg15090440,cg15150970,cg15251319,cg15283950,cg15338967,cg15485700,cg15523958,cg15540623,cg15727507,cg15953602,cg16145216,cg16282618,cg16348158,cg16455894,cg16545743,cg16560711,cg16734795,cg17042996,cg17053845,cg17224754,cg17486314,cg17540765,cg17870792,cg17873919,cg17934871,cg17971600,cg18176887,cg18187029,cg18202127,cg18419358,cg18597188,cg18797823,cg19075787,cg19295068,cg19399220,cg19623054,cg19755108,cg20051772,cg20100049,cg20309640,cg20472746,cg20784591,cg20950646,cg21085462,cg21162029,cg21327581,cg21411075,cg21443659,cg21497218,cg21566642,cg21686890,cg22010052,cg22122862,cg22389950,cg22402398,cg22533317,cg22639011,cg23258188,cg23505644,cg23661483,cg23690893,cg23983449,cg24843346,cg24988625,cg25580656,cg25799109,cg25921609,cg25940513,cg25966599,cg26076119,cg26163153,cg26189283,cg26693467,cg26728709,cg27315333,cg27613174	E093	1.00e+00
-0.493	7.20e-01	E093 Fetal Thymus	Fetal Thymus	H3K27me3	E093-H3K27me3.broadPeak.gz	cg00687135,cg00962903,cg01100175,cg01556552,cg01656168,cg01939453,cg02349578,cg02556393,cg02610360,cg02816816,cg03057083,cg03489965,cg03744763,cg04134748,cg04292359,cg04768697,cg05033439,cg05392764,cg05575921,cg06991974,cg07186154,cg07518532,cg07551060,cg07660627,cg08059112,cg08288703,cg08383315,cg08654655,cg08767044,cg08922729,cg09109520,cg09235539,cg09294084,cg09435170,cg09704401,cg10099827,cg10186366,cg10422233,cg10670310,cg10692140,cg11547696,cg11617147,cg11965976,cg12520319,cg13189097,cg13305415,cg13405783,cg13526915,cg13566648,cg14049470,cg14395060,cg14450238,cg14469684,cg15029631,cg15090440,cg15283950,cg15485700,cg15523958,cg15953602,cg16145216,cg17486314,cg17870792,cg17934871,cg18022012,cg18187029,cg18419358,cg19399220,cg21085462,cg21162029,cg21327581,cg21443659,cg21497218,cg21566642,cg21618017,cg22010052,cg22122862,cg22389950,cg22639011,cg24988625,cg25799109,cg26094004,cg26693467,cg27315333,cg27613174	E093	1.00e+00
4.559	1.46e-05	E093 Fetal Thymus	Fetal Thymus	H3K36me3	E093-H3K36me3.broadPeak.gz	cg00867472,cg00988037,cg01542019,cg01939453,cg02194129,cg02317313,cg02468154,cg02597894,cg02810967,cg03131366,cg03732020,cg03744763,cg03750061,cg04242728,cg04304450,cg04845871,cg04983687,cg05135521,cg05253759,cg05257275,cg05376219,cg05508862,cg05673882,cg06653796,cg06670742,cg06943835,cg07094298,cg07357081,cg07551060,cg07660627,cg07970948,cg08262464,cg08289839,cg08307171,cg08335767,cg08447934,cg08726900,cg08766770,cg08843623,cg08881614,cg08899895,cg08937102,cg08940169,cg10099827,cg10295552,cg10713715,cg10980948,cg11095027,cg11547696,cg12076102,cg12104982,cg13039251,cg13167816,cg13253439,cg13305415,cg13458609,cg13523568,cg13836518,cg13876222,cg14020176,cg14450238,cg15150970,cg15251319,cg15540623,cg15727507,cg16455894,cg16479633,cg16834726,cg16887422,cg17042996,cg17486314,cg17540765,cg17907003,cg17971600,cg18187029,cg18202127,cg18597188,cg19295068,cg19623054,cg19925780,cg20100049,cg20472746,cg20507228,cg20784591,cg21443659,cg22500518,cg22533317,cg22761205,cg23205886,cg23661483,cg23665802,cg23690893,cg23965590,cg23983449,cg24536818,cg25580656,cg25921609,cg25940513,cg25953130,cg25966599,cg26163153,cg26189283,cg26618703,cg26728709	E093	4.50e-04
