Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.717	9.11e-03	E093 Fetal Thymus	Fetal Thymus	H3K9me3	E093-H3K9me3.broadPeak.gz	cg00135056,cg00159243,cg00210249,cg00220721,cg00252813,cg00417304,cg00427086,cg00433709,cg00455327,cg00463562,cg00472277,cg00509772,cg00548098,cg00657871,cg00741986,cg00759699,cg00780810,cg00783916,cg00901982,cg00930606,cg00980649,cg01015663,cg01020987,cg01127300,cg01170099,cg01243823,cg01406381,cg01414882,cg01456243,cg01597398,cg01678580,cg01858712,cg01932734,cg01936839,cg01940273,cg01973676,cg01993413,cg02003183,cg02232751,cg02240622,cg02249930,cg02336827,cg02345399,cg02359132,cg02415661,cg02424179,cg02504211,cg02505871,cg02583484,cg02607915,cg02650017,cg02651400,cg02716826,cg02805822,cg02905900,cg03043406,cg03143849,cg03257930,cg03281335,cg03354554,cg03395898,cg03484180,cg03536289,cg03560879,cg03593014,cg03638795,cg03707168,cg03721978,cg03912013,cg03940776,cg03945538,cg04011474,cg04073039,cg04080353,cg04203238,cg04334723,cg04424621,cg04444771,cg04486382,cg04557677,cg04610187,cg04621728,cg04730825,cg04735908,cg04882003,cg04927537,cg04952446,cg04973995,cg05068428,cg05242244,cg05246110,cg05380808,cg05417607,cg05492306,cg05603985,cg05654980,cg05668853,cg05760053,cg05845319,cg06211255,cg06285727,cg06294803,cg06321376,cg06422693,cg06442723,cg06630241,cg06647928,cg06677416,cg06778853,cg06826457,cg06933384,cg06976025,cg07021906,cg07037944,cg07092212,cg07156249,cg07199619,cg07217499,cg07244253,cg07422880,cg07452306,cg07507251,cg07633499,cg07719604,cg07742396,cg07820214,cg07901253,cg07960624,cg07979752,cg08003402,cg08099136,cg08198483,cg08210629,cg08255481,cg08262220,cg08299521,cg08666707,cg08782002,cg08822075,cg08829007,cg08879470,cg09155575,cg09182678,cg09249494,cg09351636,cg09415366,cg09701700,cg09978077,cg10025462,cg10106091,cg10287970,cg10468373,cg10493166,cg10508317,cg10520672,cg10575219,cg10864794,cg10919522,cg10922280,cg11068337,cg11366934,cg11376147,cg11394644,cg11468085,cg11494773,cg11588903,cg11680158,cg11752250,cg11877577,cg11975718,cg12018809,cg12269535,cg12526474,cg12571570,cg12590902,cg12620005,cg12644285,cg12770539,cg12848614,cg13028930,cg13167816,cg13246468,cg13409704,cg13428066,cg13505393,cg13519902,cg13583535,cg13613748,cg13693517,cg13745346,cg13823169,cg14024458,cg14044057,cg14093936,cg14179389,cg14223444,cg14254419,cg14277403,cg14363114,cg14476101,cg14542583,cg14575950,cg14715778,cg14795047,cg14853734,cg15298486,cg15387943,cg15416179,cg15672022,cg15717558,cg16041806,cg16292768,cg16306654,cg16362983,cg16398761,cg16463460,cg16595484,cg16694480,cg16723994,cg16969872,cg17066943,cg17214023,cg17217654,cg17298279,cg17327067,cg17329534,cg17439093,cg17467525,cg17501210,cg17602444,cg17724175,cg17737835,cg17749033,cg17822325,cg17849569,cg17877220,cg17877600,cg17971578,cg18062281,cg18157896,cg18204321,cg18262993,cg18394552,cg18755191,cg19168338,cg19220272,cg19478983,cg19501423,cg19554257,cg19629631,cg19755007,cg19821297,cg20010135,cg20155035,cg20248822,cg20322832,cg20491726,cg20554312,cg20560182,cg20594304,cg20660989,cg20698421,cg20805367,cg20813374,cg20945853,cg21052932,cg21382392,cg21486834,cg21643860,cg21815220,cg21901395,cg21910821,cg22045288,cg22141389,cg22370057,cg22395807,cg22396498,cg22435785,cg22459204,cg22479546,cg22695339,cg22800273,cg22949637,cg23384027,cg23542902,cg23547429,cg23645210,cg23756264,cg23889047,cg23919111,cg24109116,cg24230340,cg24332710,cg24663255,cg24691964,cg24711224,cg24733384,cg24739326,cg24760467,cg24859433,cg24965617,cg25114611,cg25165932,cg25221975,cg25368647,cg25368824,cg25539011,cg25594736,cg25817701,cg25832796,cg26161057,cg26170244,cg26189283,cg26361436,cg26421286,cg26581729,cg26615176,cg26680127,cg26955383,cg27093918,cg27287791,cg27470213,cg27563174,cg27610250	E093	5.04e-01
-4.433	1.00e+00	E094 Gastric	Gastric	H3K9me3	E094-H3K9me3.broadPeak.gz	cg00159243,cg00277397,cg00433709,cg00509772,cg00741986,cg00930606,cg00980649,cg01243823,cg01414882,cg01936839,cg01940273,cg02003183,cg02650017,cg02651400,cg02716826,cg02805822,cg03014427,cg03029127,cg03143849,cg03257930,cg03560879,cg03940776,cg03945538,cg04203238,cg04424621,cg04927537,cg05242244,cg05246110,cg05380808,cg05417607,cg05668853,cg06211255,cg06321376,cg06442723,cg07037944,cg07742396,cg08003402,cg08198483,cg08210629,cg08299521,cg08423142,cg08879470,cg09340403,cg09701700,cg09978077,cg10025462,cg10468373,cg10508317,cg11313708,cg12590902,cg12848614,cg13167816,cg13428066,cg13787850,cg13823169,cg14024458,cg14044057,cg14179389,cg14476101,cg14575950,cg14853734,cg15298486,cg15672022,cg16292768,cg16463460,cg17214023,cg17217654,cg17602444,cg17849569,cg18157896,cg18755191,cg18826637,cg18931895,cg19629631,cg20010135,cg20491726,cg20560182,cg20594304,cg21382392,cg21815220,cg21901395,cg22045288,cg22141389,cg22395807,cg22435785,cg22800273,cg23683012,cg23919111,cg24733384,cg24965617,cg25114611,cg25221975,cg25817701,cg25832796,cg26170244,cg26221105,cg26361436,cg26581729,cg26615176,cg27287791,cg27470213	E094	1.00e+00
-2.120	9.91e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K9me3	E021-H3K9me3.broadPeak.gz	cg01940273,cg02932780,cg03014427,cg03043406,cg03354554,cg03940776,cg04334723,cg06647928,cg07960624,cg08003402,cg08198483,cg08262220,cg08423142,cg09701700,cg10864794,cg11313708,cg13583535,cg13787850,cg14277403,cg17501210,cg20811755,cg22459204,cg23384027	E021	1.00e+00
0.300	3.92e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K9me3	E022-H3K9me3.broadPeak.gz	cg00417304,cg00427086,cg00548098,cg00741986,cg00759699,cg00780810,cg00783916,cg00901982,cg00907204,cg00930606,cg00980649,cg01127300,cg01406381,cg01414882,cg01456243,cg01678580,cg01858712,cg01932734,cg01936839,cg01940273,cg01993413,cg02003183,cg02232751,cg02249930,cg02291556,cg02336827,cg02359132,cg02424179,cg02504211,cg02505871,cg02583484,cg02641675,cg02650017,cg02651400,cg02716826,cg03043406,cg03143849,cg03257930,cg03354554,cg03359362,cg03395898,cg03484180,cg03593014,cg03638795,cg03707168,cg03912013,cg03940776,cg03945538,cg04073039,cg04444771,cg04486382,cg04557677,cg04621728,cg04913803,cg04952446,cg05068428,cg05151185,cg05246110,cg05417607,cg05438378,cg05559445,cg05575921,cg05603985,cg05654980,cg05668853,cg05760053,cg05845319,cg06211255,cg06321376,cg06442723,cg06630241,cg06778853,cg06976025,cg06983052,cg07021906,cg07199619,cg07422880,cg07452306,cg07507251,cg07719604,cg07979752,cg08003402,cg08198483,cg08210629,cg08255481,cg08262220,cg08299521,cg08423142,cg08666707,cg08782002,cg08879470,cg09182678,cg09415366,cg09701700,cg09978077,cg10106091,cg10287970,cg10468373,cg10493166,cg10508317,cg10919522,cg10922280,cg11152384,cg11313708,cg11366934,cg11394644,cg11468085,cg11494773,cg11588903,cg11680158,cg11690884,cg11796313,cg11877577,cg11926473,cg11975718,cg12018809,cg12269535,cg12620005,cg12770539,cg12848614,cg13149245,cg13167816,cg13246468,cg13409704,cg13428066,cg13505393,cg13518625,cg13613748,cg13823169,cg14093936,cg14145338,cg14179389,cg14254419,cg14277403,cg14363114,cg14476101,cg14542583,cg14715778,cg14795047,cg14853734,cg15298486,cg15989436,cg16306654,cg16362983,cg16463460,cg16723994,cg17066943,cg17214023,cg17217654,cg17298279,cg17327067,cg17329534,cg17439093,cg17467525,cg17724175,cg17737835,cg17749033,cg17822325,cg17849569,cg17877220,cg18755191,cg19168338,cg19501423,cg19554257,cg19589396,cg19629631,cg19821297,cg20155035,cg20248822,cg20491726,cg20594304,cg20660989,cg20698421,cg20782117,cg20805367,cg20813374,cg21346154,cg21382392,cg21486834,cg21910821,cg22370057,cg22395807,cg22435785,cg22459204,cg22800273,cg22949637,cg23384027,cg23542902,cg23547429,cg23646614,cg23683012,cg23756264,cg23889047,cg23919111,cg24109116,cg24230340,cg24332710,cg24663255,cg24691964,cg24711224,cg24859433,cg25114611,cg25165932,cg25368647,cg25539011,cg25817701,cg25832796,cg26361436,cg26581729,cg26615176,cg26680127,cg26728422,cg26955383,cg27115863,cg27287791,cg27470213,cg27545615,cg27563174,cg27610250	E022	1.00e+00
-7.705	1.00e+00	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K9me3	E017-H3K9me3.broadPeak.gz	cg00277397,cg00980649,cg01940273,cg02650017,cg04203238,cg05068428,cg05246110,cg05380808,cg07199619,cg08210629,cg08879470,cg09249494,cg09823288,cg10520672,cg13028930,cg13428066,cg14179389,cg16463460,cg17439093,cg20945853,cg22141389,cg22370057,cg24739326,cg25221975,cg26955383	E017	1.00e+00
-8.016	1.00e+00	E097 Ovary	Ovary	H3K9me3	E097-H3K9me3.broadPeak.gz	cg00134210,cg01414882,cg01940273,cg02905900,cg03281335,cg03536289,cg04203238,cg05380808,cg05575921,cg06677416,cg07021906,cg08210629,cg08299521,cg09340403,cg09823288,cg11376147,cg13028930,cg13149245,cg13409704,cg13428066,cg14024458,cg14145338,cg14363114,cg17439093,cg17467525,cg17501210,cg17822325,cg17849569,cg18394552,cg18826637,cg20660989,cg21346154,cg22141389,cg23646614,cg24739326,cg25368824	E097	1.00e+00
-1.780	9.86e-01	E098 Pancreas	Pancreas	H3K9me3	E098-H3K9me3.broadPeak.gz	cg00220721,cg00252813,cg00277397,cg00472277,cg00509772,cg00741986,cg00780810,cg00930606,cg00980649,cg01020987,cg01127300,cg01406381,cg01414882,cg01456243,cg01597398,cg01936839,cg01940273,cg01993413,cg02003183,cg02232751,cg02336827,cg02424179,cg02583484,cg02641675,cg02650017,cg02651400,cg02805822,cg02932780,cg03354554,cg03484180,cg03536289,cg03638795,cg03707168,cg03721978,cg04073039,cg04080353,cg04203238,cg04334723,cg04424621,cg04610187,cg04913803,cg04949225,cg04952446,cg04973995,cg05151185,cg05417607,cg05492306,cg05559445,cg05575921,cg05668853,cg05760053,cg05845319,cg05991009,cg06361161,cg06442723,cg06647068,cg06647928,cg07037944,cg07960624,cg07979752,cg08003402,cg08198483,cg08255481,cg08262220,cg08299521,cg08822075,cg09340403,cg09415366,cg09701700,cg09978077,cg10287970,cg10468373,cg10508317,cg10520672,cg10575219,cg10636246,cg10922280,cg10970776,cg11068337,cg11313708,cg11376147,cg11394644,cg11468085,cg11690884,cg11975718,cg12018809,cg12269535,cg12526474,cg12620005,cg12644285,cg13028930,cg13246468,cg13428066,cg13505393,cg13583535,cg13693517,cg13787850,cg13823169,cg14024458,cg14044057,cg14093936,cg14145338,cg14179389,cg14542583,cg14715778,cg15208284,cg15298486,cg15672022,cg15717558,cg15814508,cg16362983,cg16463460,cg16656852,cg16694480,cg16723994,cg16969872,cg17066943,cg17214023,cg17298279,cg17329534,cg17439093,cg17467525,cg17602444,cg17737835,cg17749033,cg17849569,cg18157896,cg18262993,cg19168338,cg19213703,cg19629631,cg20491726,cg20554312,cg20560182,cg20594304,cg20660989,cg20698421,cg20811755,cg21901395,cg22141389,cg22370057,cg22395807,cg22459204,cg22695339,cg23384027,cg23547429,cg23645210,cg23646614,cg23889047,cg24109116,cg24230340,cg24332710,cg24663255,cg24691964,cg24965617,cg25221975,cg25230327,cg25594736,cg25817701,cg26170244,cg26189283,cg26221105,cg26361436,cg26581729,cg26728422,cg27093918,cg27115863,cg27287791,cg27470213,cg27545615,cg27563174,cg27610250	E098	1.00e+00
-1.257	9.25e-01	E091 Placenta	Placenta	H3K9me3	E091-H3K9me3.broadPeak.gz	cg00135056,cg00277397,cg00509772,cg00548098,cg00741986,cg00759699,cg00780810,cg00907204,cg00930606,cg00980649,cg01020987,cg01127300,cg01406381,cg01414882,cg01678580,cg01936839,cg01940273,cg01973676,cg02232751,cg02240622,cg02359132,cg02504211,cg02650017,cg02651400,cg02905900,cg03029127,cg03484180,cg03721978,cg04011474,cg04334723,cg04424621,cg05151185,cg05603985,cg05654980,cg05845319,cg06211255,cg06285727,cg06294803,cg06647928,cg06976025,cg07037944,cg07422880,cg07507251,cg07719604,cg07979752,cg08003402,cg08099136,cg08198483,cg08255481,cg08262220,cg09155575,cg09249494,cg10025462,cg10468373,cg10575219,cg10636246,cg11152384,cg11376147,cg11468085,cg11494773,cg11926473,cg12848614,cg13028930,cg13167816,cg13246468,cg13428066,cg13519902,cg13693517,cg13823169,cg14024458,cg14145338,cg14179389,cg14542583,cg14715778,cg14795047,cg15696506,cg16306654,cg16463460,cg17217654,cg17298279,cg17327067,cg17439093,cg17467525,cg17602444,cg17749033,cg17849569,cg17877220,cg17877600,cg17971578,cg19168338,cg19220272,cg19821297,cg20322832,cg20491726,cg20554312,cg20560182,cg20698421,cg20805367,cg20813374,cg20945853,cg21815220,cg22395807,cg22435785,cg22479546,cg23384027,cg23645210,cg23889047,cg24332710,cg24691964,cg24739326,cg25165932,cg25221975,cg25832796,cg26189283,cg26221105,cg26361436,cg26615176,cg27287791,cg27610250	E091	1.00e+00
-3.581	1.00e+00	E100 Psoas Muscle	Psoas Muscle	H3K9me3	E100-H3K9me3.broadPeak.gz	cg00220721,cg01428071,cg01438090,cg04621728,cg05380808,cg12770539,cg13693517,cg16463460,cg17088014,cg18394552,cg20782117,cg25230327,cg26164488	E100	1.00e+00
-5.327	1.00e+00	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K9me3	E055-H3K9me3.broadPeak.gz	cg00277397,cg00427086,cg00930606,cg00980649,cg01127300,cg01243823,cg01414882,cg01438090,cg01858712,cg01940273,cg01993413,cg02504211,cg02651400,cg02905900,cg04203238,cg05151185,cg05380808,cg05417607,cg05845319,cg06285727,cg07199619,cg07217499,cg07719604,cg07901253,cg08003402,cg08210629,cg09249494,cg10508317,cg10970776,cg11313708,cg11468085,cg11494773,cg11690884,cg12018809,cg13028930,cg13428066,cg13583535,cg14715778,cg14853734,cg16463460,cg17501210,cg17849569,cg17877220,cg18931895,cg20560182,cg20660989,cg21346154,cg21382392,cg22141389,cg23889047,cg24691964,cg24739326,cg25221975,cg26189283	E055	1.00e+00
-3.418	1.00e+00	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K9me3	E056-H3K9me3.broadPeak.gz	cg00220721,cg00277397,cg00741986,cg00980649,cg01438090,cg01940273,cg01993413,cg02651400,cg02805822,cg03536289,cg03560879,cg03638795,cg04444771,cg04913803,cg04973995,cg05380808,cg05668853,cg05845319,cg06361161,cg07199619,cg07507251,cg07633499,cg08262220,cg09249494,cg09415366,cg09823288,cg10508317,cg10970776,cg11152384,cg11313708,cg11468085,cg11494773,cg11680158,cg11690884,cg12590902,cg13028930,cg13167816,cg13409704,cg13428066,cg13613748,cg14145338,cg14179389,cg14363114,cg16463460,cg17602444,cg17849569,cg17877220,cg18157896,cg18931895,cg19821297,cg20010135,cg20155035,cg20554312,cg20560182,cg20660989,cg20813374,cg21910821,cg22045288,cg22141389,cg22435785,cg22695339,cg24230340,cg24691964,cg24739326,cg25539011,cg25832796,cg26221105,cg26680127	E056	1.00e+00
-3.741	1.00e+00	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K9me3	E057-H3K9me3.broadPeak.gz	cg00455327,cg00759699,cg00783916,cg00980649,cg01243823,cg01456243,cg01932734,cg01993413,cg02336827,cg02504211,cg02650017,cg02651400,cg03043406,cg03536289,cg03638795,cg03707168,cg03945538,cg04334723,cg04610187,cg05246110,cg05654980,cg05845319,cg06285727,cg06321376,cg06422693,cg06677416,cg07026107,cg07742396,cg07960624,cg08003402,cg09351636,cg09415366,cg10468373,cg10508317,cg10636246,cg10922280,cg11468085,cg12018809,cg13028930,cg13409704,cg13428066,cg13518625,cg13745346,cg13823169,cg14093936,cg14145338,cg14363114,cg14795047,cg14853734,cg15208284,cg16463460,cg17467525,cg17749033,cg17849569,cg17877220,cg18755191,cg19448816,cg19857457,cg20491726,cg20560182,cg21486834,cg21691367,cg22045288,cg22395807,cg22435785,cg22479546,cg23645210,cg23889047,cg24663255,cg24691964,cg25539011,cg26189283,cg26361533,cg26581729,cg26615176,cg27610250	E057	1.00e+00
-1.707	9.75e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K9me3	E059-H3K9me3.broadPeak.gz	cg00159243,cg00277397,cg00417304,cg00472277,cg00741986,cg00980649,cg01243823,cg01414882,cg01597398,cg01678580,cg01858712,cg01936839,cg01940273,cg02232751,cg02240622,cg02291556,cg02359132,cg02504211,cg02607915,cg02650017,cg02651400,cg02716826,cg02946885,cg03354554,cg03411579,cg03484180,cg03560879,cg03593014,cg03638795,cg03945538,cg04080353,cg04203238,cg04973995,cg05151185,cg05242244,cg05575921,cg05603985,cg05760053,cg06647928,cg06677416,cg06778853,cg07021906,cg07037944,cg07217499,cg07820214,cg07901253,cg07960624,cg08003402,cg08198483,cg08210629,cg08299521,cg08666707,cg09155575,cg09182678,cg09249494,cg09360041,cg09415366,cg09978077,cg10493166,cg10520672,cg11468085,cg11690884,cg11975718,cg12269535,cg12848614,cg13409704,cg13428066,cg13505393,cg13519902,cg13823169,cg14024458,cg14044057,cg14093936,cg14145338,cg14254419,cg14363114,cg14387360,cg14476101,cg14715778,cg15672022,cg16292768,cg16362983,cg16463460,cg16694480,cg16969872,cg17088014,cg17214023,cg17327067,cg17329534,cg17501210,cg17602444,cg17737835,cg17849569,cg17877220,cg17971578,cg18157896,cg18394552,cg19821297,cg19857457,cg20322832,cg20560182,cg20945853,cg21346154,cg22045288,cg22141389,cg22459204,cg22695339,cg22800273,cg23384027,cg23542902,cg23547429,cg23645210,cg23756264,cg23889047,cg24109116,cg24739326,cg24859433,cg25114611,cg25221975,cg25832796,cg26221105,cg26421286,cg26615176,cg26680127,cg26728422,cg26955383,cg27563174	E059	1.00e+00
-4.766	1.00e+00	E109 Small Intestine	Small Intestine	H3K9me3	E109-H3K9me3.broadPeak.gz	cg00277397,cg01414882,cg01438090,cg01858712,cg01936839,cg01993413,cg02504211,cg02505871,cg02650017,cg03143849,cg04621728,cg05603985,cg05654980,cg06647068,cg06983052,cg09823288,cg10636246,cg11002698,cg11152384,cg11690884,cg12590902,cg13028930,cg13149245,cg13428066,cg13693517,cg14223444,cg16463460,cg17501210,cg17849569,cg17877220,cg18204321,cg19390658,cg19914919,cg20248822,cg20560182,cg20813374,cg20945853,cg21901395,cg21910821,cg22141389,cg22370057,cg22800273,cg23645210,cg24230340,cg24496021,cg24739326,cg24965617,cg25539011,cg26581729,cg26615176,cg27610250	E109	1.00e+00
